bank_id,name,phone,city,lat,lon,distance_km,blood_types_available
21,Krithi's Blood Bank,+91-9000000000,Bangalore,12.9600,77.5800,1.5,"A+,B+,O+,AB+"
1,City General Blood Bank,+91-8234567890,Bangalore,12.9716,77.5946,2.1,"A+,A-,B+,B-,O+,O-,AB+,AB-"
2,Red Cross Blood Center,+91-9123456789,Bangalore,12.9800,77.6000,3.5,"A+,B+,O+,AB+"
3,Apollo Blood Bank,+91-7890123456,Bangalore,12.9650,77.5800,1.8,"A+,A-,B+,B-,O+,O-,AB+,AB-"
4,Manipal Blood Services,+91-8567890123,Bangalore,12.9900,77.6100,4.2,"A+,B+,O+,O-"
5,Fortis Blood Center,+91-9234567801,Bangalore,12.9550,77.5700,2.7,"A+,A-,B+,B-,O+,O-,AB+,AB-"
6,Narayana Blood Bank,+91-8901234567,Bangalore,12.9750,77.6050,3.1,"A+,B+,O+,AB+,AB-"
7,BGS Global Blood Bank,+91-7456789012,Bangalore,12.9600,77.5900,2.4,"A+,A-,B+,B-,O+,O-"
8,Columbia Asia Blood Center,+91-8123456789,Bangalore,12.9850,77.5950,3.8,"A+,B+,O+,O-,AB+"
9,Aster CMI Blood Services,+91-9567890123,Bangalore,12.9700,77.6200,4.6,"A+,A-,B+,B-,O+,O-,AB+,AB-"
10,Sakra World Blood Bank,+91-8789012345,Bangalore,12.9500,77.5600,3.3,"A+,B+,O+,AB+"
11,Cloudnine Blood Center,+91-7234567890,Bangalore,12.9800,77.5850,2.9,"A+,A-,B+,O+,O-"
12,Vikram Blood Bank,+91-8456789012,Bangalore,12.9650,77.6150,4.1,"A+,B+,B-,O+,AB+"
13,Sparsh Blood Services,+91-9012345678,Bangalore,12.9750,77.5750,2.6,"A+,A-,B+,B-,O+,O-,AB+,AB-"
14,Motherhood Blood Center,+91-8678901234,Bangalore,12.9900,77.6000,3.7,"A+,B+,O+,O-"
15,Sagar Blood Bank,+91-7345678901,Bangalore,12.9550,77.5950,3.4,"A+,A-,B+,B-,O+,O-,AB+"
16,Ramaiah Blood Services,+91-8012345678,Bangalore,12.9700,77.5650,2.2,"A+,B+,O+,AB+,AB-"
17,Baptist Blood Center,+91-9345678012,Bangalore,12.9850,77.6100,4.3,"A+,A-,B+,B-,O+,O-"
18,Mallya Blood Bank,+91-8567890124,Bangalore,12.9600,77.5800,2.0,"A+,B+,O+,O-,AB+"
19,Rajiv Gandhi Blood Services,+91-7890123457,Bangalore,12.9750,77.6050,3.2,"A+,A-,B+,B-,O+,O-,AB+,AB-"
20,Kidwai Blood Bank,+91-8234567891,Bangalore,12.9500,77.5700,2.8,"A+,B+,B-,O+,O-,AB+"